Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR10454507_trimmed_1.fastq.gz	LandisEA_2021__SRS5653152__bin.2.fa	56.2947	50.5391	100.00	65.000	NA-NA	HIGH	NA-NA	65	65.742	11144/11144	100.00	0	SRS5653152_k141_1211
SRR10454507_trimmed_1.fastq.gz	LandisEA_2021__SRS5653137__bin.2.fa	30.3125	25.2712	99.84	35.000	NA-NA	HIGH	NA-NA	35	34.900	9873/10364	99.84	2	SRS5653137_k141_683
SRR10454507_trimmed_1.fastq.gz	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44.fa	4.2684	18.0650	99.65	4.928	NA-NA	HIGH	NA-NA	5	4.928	44067/49112	99.65	0	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44_CM006479.1 Saccharomyces cerevisiae strain beer044 chromosome I, whole genome shotgun sequence
SRR10454507_trimmed_1.fastq.gz	LandisEA_2021__SRS5653399__bin.4.fa	3.4650	1.5293	99.90	4.001	NA-NA	HIGH	NA-NA	4	4.001	5205/5362	99.90	0	SRS5653399_k141_290
SRR10454507_trimmed_1.fastq.gz	LandisEA_2021__SRS5653155__bin.1.fa	2.5165	2.2086	99.66	2.906	NA-NA	HIGH	NA-NA	3	2.906	9595/10655	99.66	2	SRS5653155_k141_354
SRR10454507_trimmed_1.fastq.gz	LeechJ_2020__ERS3967740__bin.10.fa	1.3185	0.8998	99.32	1.522	99.23-99.40	1.522	1.44-1.62	2	2.054	5208/8220	98.54	8	ERS3967740_k141_2100
SRR10454507_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602150__bin.9.fa	0.8993	0.7344	97.85	1.038	97.72-98.01	1.038	0.97-1.10	1	1.632	3304/10040	96.48	4	NODE_36_length_112572_cov_15.0000_ID_47355
SRR10454507_trimmed_1.fastq.gz	MAG_501.fa	0.5041	0.4071	99.51	0.582	99.35-99.68	0.582	0.54-0.62	1	1.325	3679/9710	96.92	0	MAG_501_0
SRR10454507_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	0.2717	0.1974	99.44	0.314	99.12-99.80	0.314	0.28-0.34	1	1.178	2010/8865	95.33	2	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome
SRR10454507_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	0.0669	0.0735	97.94	0.077	96.77-99.17	0.077	0.05-0.11	1	1.122	533/13589	90.08	13	NODE_1_length_274429_cov_22.9992_ID_7781
SRR10454507_trimmed_1.fastq.gz	GCF_001434985.1_ASM143498v1_genomic.fa	0.0616	0.0554	97.04	0.071	95.47-98.88	0.071	0.04-0.11	1	1.009	331/11067	89.30	163	GCF_001434985.1_ASM143498v1_genomic_NZ_AZES01000005.1 Companilactobacillus paralimentarius DSM 13238 = JCM 10415 strain DSM 13238 NODE_10, whole genome shotgun sequence
SRR10454507_trimmed_1.fastq.gz	MAG_15.fa	0.0208	0.0193	99.80	0.024	96.86-100.12	0.024	0.02-0.06	1	1.012	253/11359	88.45	0	MAG_15_0
