Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR13708566_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_270__bin.3.fa	39.0692	36.3668	99.41	95.000	NA-NA	HIGH	NA-NA	95	86.561	6481/7774	99.41	31	NODE_24_length_69116_cov_15.0000_ID_16044
SRR13708566_trimmed_1.fastq.gz	WalshAM_2017__ERS1739834__bin.1.fa	25.0865	22.2535	99.57	61.000	NA-NA	HIGH	NA-NA	61	59.525	6550/7489	99.57	4	ERS1739834_k141_1514
SRR13708566_trimmed_1.fastq.gz	GCF_001885995.1_ASM188599v1_genomic.fa	5.4936	6.6494	97.96	13.358	NA-NA	HIGH	NA-NA	14	13.358	5354/10141	97.96	167	GCF_001885995.1_ASM188599v1_genomic_NZ_JXKT01000001.1 Enterococcus italicus DSM 15952 Scaffold1, whole genome shotgun sequence
SRR13708566_trimmed_1.fastq.gz	LopezSanchezR_2023__SRR13708567__bin.4.fa	3.8608	3.2352	99.99	9.388	NA-NA	HIGH	NA-NA	9	9.388	6813/6835	99.99	0	NODE_5_length_91268_cov_12.4286_ID_1350
SRR13708566_trimmed_1.fastq.gz	Nixt_bin.2.fa	3.2531	4.4204	98.83	7.910	NA-NA	HIGH	NA-NA	7	7.910	7802/11235	98.83	14	Nixt_bin.2_k77_48265
SRR13708566_trimmed_1.fastq.gz	FontanaF_2023__SRR20746839__bin.4.fa	2.6424	2.3282	99.59	6.425	NA-NA	HIGH	NA-NA	6	6.425	6448/7322	99.59	0	NODE_2_length_148631_cov_25.9785_ID_15265
SRR13708566_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.19.fa	2.4612	2.1560	95.84	5.985	NA-NA	HIGH	NA-NA	6	5.985	1958/7305	95.84	7	NODE_60_length_69008_cov_15.0006_ID_75507
SRR13708566_trimmed_1.fastq.gz	YuY_2022__SRR16950700__bin.25.fa	2.2057	2.4339	98.98	5.363	NA-NA	HIGH	NA-NA	5	5.363	6598/9054	98.98	1	NODE_144_length_38003_cov_20.0000_ID_27523
SRR13708566_trimmed_1.fastq.gz	DeFilippisF_xxxx__DF_104__bin.4.fa	2.0721	1.9658	98.93	5.038	NA-NA	HIGH	NA-NA	5	5.038	5563/7766	98.93	473	DF_104_k141_646
SRR13708566_trimmed_1.fastq.gz	LeechJ_xxxx__AF81__bin.1.fa	1.4497	1.0202	99.21	3.525	NA-NA	HIGH	NA-NA	3	3.525	4502/5761	99.21	31	AF81_k141_237
