Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR27593153_trimmed_1.fastq.gz	FontanaF_2023__SRR20746839__bin.4.fa	47.6683	43.1887	99.49	103.000	NA-NA	HIGH	NA-NA	103	95.793	6252/7322	99.49	6	NODE_2_length_148631_cov_25.9785_ID_15265
SRR27593153_trimmed_1.fastq.gz	GCF_006740305.1_ASM674030v1_genomic.fa	33.3215	34.1182	98.65	72.000	NA-NA	HIGH	NA-NA	72	68.793	5109/7797	98.65	12	GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome
SRR27593153_trimmed_1.fastq.gz	MASTER_WP4_UNINA_2__P-22__bin.8.fa	8.3304	8.1575	99.69	18.000	NA-NA	HIGH	NA-NA	18	17.842	7052/7771	99.69	0	P-22_k141_82
SRR27593153_trimmed_1.fastq.gz	MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin.2.fa	5.3687	8.4851	98.73	11.600	NA-NA	HIGH	NA-NA	12	11.600	8594/12772	98.73	0	WK030-2-L-48h-03A9_S28_k141_198
SRR27593153_trimmed_1.fastq.gz	FontanaF_2023__SRR20746979__bin.3.fa	3.4249	3.1186	98.63	7.400	NA-NA	HIGH	NA-NA	7	7.400	4670/7154	98.63	15	NODE_10_length_61143_cov_28.9945_ID_1888
SRR27593153_trimmed_1.fastq.gz	GCF_004771075.1_ASM477107v1_genomic.fa	0.3597	0.4274	99.34	0.777	99.16-99.50	0.777	0.73-0.83	1	1.463	4087/9278	97.39	0	GCF_004771075.1_ASM477107v1_genomic_NZ_CP027563.1 Weissella confusa strain VTT E-133279 chromosome, complete genome
SRR27593153_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	0.2529	0.4219	98.91	0.547	98.75-99.10	0.547	0.51-0.58	1	1.359	4086/13589	96.20	13	NODE_1_length_274429_cov_22.9992_ID_7781
SRR27593153_trimmed_1.fastq.gz	LandisEA_2021__SRS5653333__bin.1.fa	0.2030	0.2694	98.26	0.439	98.01-98.56	0.439	0.40-0.48	1	1.250	2190/10617	95.04	3	SRS5653333_k141_170
SRR27593153_trimmed_1.fastq.gz	FontanaF_2023__SRR20746951__bin.4.fa	0.1546	0.2331	99.46	0.334	99.19-99.74	0.334	0.30-0.36	1	1.192	2924/12064	95.53	0	NODE_1_length_333540_cov_36.9994_ID_1661
SRR27593153_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602156__bin.13.fa	0.1373	0.1042	97.39	0.297	96.77-98.18	0.297	0.23-0.37	1	1.632	714/6110	93.31	142	NODE_13_length_131629_cov_20.9991_ID_137683
SRR27593153_trimmed_1.fastq.gz	G_514_1B_orientalis_assembly.fa	0.1138	0.1891	97.32	0.246	96.93-97.68	0.246	0.21-0.28	1	1.205	1290/13382	92.73	27	NODE_1_length_900359_cov_75.777345
SRR27593153_trimmed_1.fastq.gz	MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin.10.fa	0.1061	0.1796	97.20	0.229	96.66-97.54	0.229	0.20-0.27	1	1.117	1158/13601	92.36	41	WK027-1-L-48h-02I4_S14_k141_125
SRR27593153_trimmed_1.fastq.gz	GCF_009428965.1_ASM942896v1_genomic.fa	0.0921	0.0847	99.21	0.199	98.62-99.78	0.199	0.15-0.24	1	1.193	1009/7077	93.91	58	GCF_009428965.1_ASM942896v1_genomic_NZ_CP045530.1 Limosilactobacillus pontis strain LP475 chromosome, complete genome
SRR27593153_trimmed_1.fastq.gz	GCF_009184845.1_ASM918484v1_genomic.fa	0.0886	0.1642	97.58	0.191	96.98-98.03	0.191	0.16-0.23	1	1.121	1094/13112	92.30	44	GCF_009184845.1_ASM918484v1_genomic_NZ_CP045068.1 Lacticaseibacillus manihotivorans strain LM010 chromosome
SRR27593153_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2597__bin.1.fa	0.0654	0.3684	99.54	0.141	99.22-99.80	0.141	0.13-0.16	1	1.079	5156/45159	93.24	0	P2597_k141_298
SRR27593153_trimmed_1.fastq.gz	MortensenS_xxxx__WK040-2-L-48h-03F4_S68__bin.4.fa	0.0553	0.0731	96.45	0.120	95.33-97.51	0.120	0.08-0.18	1	1.083	397/10670	89.93	253	WK040-2-L-48h-03F4_S68_k141_241
SRR27593153_trimmed_1.fastq.gz	LeechJ_2020__ERS3967691__bin.13.fa	0.0532	0.0556	99.70	0.115	99.01-100.50	0.115	0.09-0.14	1	1.071	817/8251	92.81	140	ERS3967691_k141_96
SRR27593153_trimmed_1.fastq.gz	SRR10454516C127_okinawensis_assembly.fa	0.0526	0.0759	96.34	0.114	95.24-97.65	0.114	0.07-0.16	1	1.320	422/11628	89.85	319	SRR10454516C0
SRR27593153_trimmed_1.fastq.gz	LeechJ_2020__ERS3967703__bin.6.fa	0.0349	0.0341	97.43	0.075	96.06-100.01	0.075	0.03-0.11	1	1.146	260/7915	89.57	18	ERS3967703_k141_852
SRR27593153_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.13.fa	0.0325	0.0223	97.80	0.070	95.76-99.83	0.070	0.03-0.12	1	1.394	193/5623	89.69	4	AF66_k141_253
SRR27593153_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.11.fa	0.0254	0.0215	98.55	0.055	96.29-100.56	0.055	0.03-0.11	1	1.035	226/6666	89.66	4	SRS6115052_k141_268
SRR27593153_trimmed_1.fastq.gz	YouL_2022__SRR13308528__bin.16.fa	0.0196	0.0235	97.72	0.042	94.97-98.92	0.042	0.03-0.10	1	1.021	193/9515	88.18	0	NODE_740_length_22466_cov_7.0000_ID_98676
