Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR10454485_trimmed_1.fastq.gz	LandisEA_2021__SRS5653399__bin.4.fa	65.9783	48.4940	99.49	288.000	NA-NA	HIGH	NA-NA	288	289.375	4580/5362	99.49	0	SRS5653399_k141_290
SRR10454485_trimmed_1.fastq.gz	LandisEA_2021__SRS5653152__bin.2.fa	20.8473	31.1676	99.75	91.000	NA-NA	HIGH	NA-NA	91	84.510	10323/11144	99.75	0	SRS5653152_k141_1211
SRR10454485_trimmed_1.fastq.gz	LeechJ_2020__ERS3967740__bin.10.fa	10.3091	11.7159	99.20	45.000	NA-NA	HIGH	NA-NA	45	46.562	6402/8220	99.20	4	ERS3967740_k141_2100
SRR10454485_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602150__bin.9.fa	0.8123	1.1047	97.79	3.546	NA-NA	HIGH	NA-NA	3	3.546	5026/10040	97.79	1	NODE_36_length_112572_cov_15.0000_ID_47355
SRR10454485_trimmed_1.fastq.gz	GCF_001438845.1_ASM143884v1_genomic.fa	0.7902	1.3882	96.69	3.449	NA-NA	HIGH	NA-NA	3	3.449	4515/12832	96.69	11	GCF_001438845.1_ASM143884v1_genomic_NZ_JQCL01000005.1 Lactiplantibacillus xiangfangensis strain LMG 26013 NODE_10, whole genome shotgun sequence
SRR10454485_trimmed_1.fastq.gz	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44.fa	0.7775	5.4799	99.44	3.394	NA-NA	HIGH	NA-NA	3	3.394	41308/49112	99.44	0	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44_CM006479.1 Saccharomyces cerevisiae strain beer044 chromosome I, whole genome shotgun sequence
SRR10454485_trimmed_1.fastq.gz	MAG_501.fa	0.3769	0.5069	99.56	1.645	99.49-99.62	1.645	1.57-1.72	2	2.097	6837/9710	98.87	0	MAG_501_0
SRR10454485_trimmed_1.fastq.gz	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897.fa	0.0785	0.1092	96.53	0.343	96.08-97.02	0.343	0.29-0.40	1	1.814	1003/10183	92.80	536	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897_NZ_LISZ01000065.1 Lactococcus lactis subsp. cremoris strain LMG6897 contig_0, whole genome shotgun sequence
SRR10454485_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	0.0186	0.0225	96.88	0.081	95.18-98.61	0.081	0.05-0.14	1	1.034	267/8865	89.32	7	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome
SRR10454485_trimmed_1.fastq.gz	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5.fa	0.0112	0.0112	98.93	0.049	96.74-100.66	0.049	0.03-0.10	1	1.024	252/7379	89.68	7	WK028-2-L-48h-03A1_S20_k141_3165
