Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR9701327_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859379__bin.8.fa	39.1987	27.2700	99.89	141.000	NA-NA	HIGH	NA-NA	141	122.643	6602/6826	99.89	0	NODE_3_length_161229_cov_37.0000_ID_62026
SRR9701327_trimmed_1.fastq.gz	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38.fa	23.6304	20.0653	99.66	85.000	NA-NA	HIGH	NA-NA	85	75.135	7206/8010	99.66	0	ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38_NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome
SRR9701327_trimmed_1.fastq.gz	LeechJ_xxxx__AF53__bin.10.fa	23.3524	24.9133	98.73	84.000	NA-NA	HIGH	NA-NA	84	84.534	7031/10440	98.73	5	AF53_k141_67
SRR9701327_trimmed_1.fastq.gz	GCF_004771075.1_ASM477107v1_genomic.fa	2.5022	2.4276	99.79	9.000	NA-NA	HIGH	NA-NA	9	9.000	8702/9278	99.79	0	GCF_004771075.1_ASM477107v1_genomic_NZ_CP027563.1 Weissella confusa strain VTT E-133279 chromosome, complete genome
SRR9701327_trimmed_1.fastq.gz	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44.fa	2.1761	11.4226	99.84	7.828	NA-NA	HIGH	NA-NA	8	7.828	46672/49112	99.84	0	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44_CM006479.1 Saccharomyces cerevisiae strain beer044 chromosome I, whole genome shotgun sequence
SRR9701327_trimmed_1.fastq.gz	LeechJ_2020__ERS3967691__bin.13.fa	2.0229	1.7258	99.31	7.276	NA-NA	HIGH	NA-NA	7	7.276	6651/8251	99.31	201	ERS3967691_k141_96
SRR9701327_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.10.fa	0.7683	0.7917	95.25	2.764	NA-NA	HIGH	NA-NA	3	2.764	2176/9849	95.25	3159	AF66_k141_123
SRR9701327_trimmed_1.fastq.gz	MAG_45.fa	0.6292	0.7049	99.58	2.263	99.53-99.71	2.263	1.97-2.36	2	2.812	8542/10848	99.23	1	MAG_45_0
SRR9701327_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2597__bin.1.fa	0.6057	2.7857	99.74	2.179	99.72-99.77	2.179	2.11-2.24	2	2.470	36941/45159	99.35	5	P2597_k141_298
SRR9701327_trimmed_1.fastq.gz	LeechJ_2020__ERS3967688__bin.2.fa	0.4844	0.9401	99.78	1.742	99.73-99.82	1.742	1.69-1.81	2	2.462	14661/19017	99.16	0	ERS3967688_k141_1437
SRR9701327_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602150__bin.9.fa	0.4633	0.4692	98.52	1.666	98.43-98.58	1.666	1.59-1.77	2	2.354	5138/10040	97.86	30	NODE_36_length_112572_cov_15.0000_ID_47355
SRR9701327_trimmed_1.fastq.gz	MAG_19.fa	0.4240	0.9731	99.66	1.525	99.62-99.71	1.525	1.48-1.58	2	2.182	16142/22889	98.88	207	MAG_19_0
SRR9701327_trimmed_1.fastq.gz	FontanaF_2023__SRR20746854__bin.2.fa	0.3815	0.7458	97.77	1.372	97.69-97.87	1.372	1.29-1.43	2	2.376	7182/19352	96.85	837	NODE_7_length_112150_cov_14.2384_ID_46122
SRR9701327_trimmed_1.fastq.gz	EBC_134.5.fa	0.2982	0.8114	98.71	1.072	98.64-98.79	1.072	1.03-1.12	2	2.651	11661/26324	97.41	76	EBC_134.5_EBC_134_scaffold_561
SRR9701327_trimmed_1.fastq.gz	LeechJ_xxxx__AF66__bin.13.fa	0.2849	0.1601	99.41	1.025	99.26-99.56	1.025	0.94-1.10	1	1.653	3010/5623	98.00	0	AF66_k141_253
SRR9701327_trimmed_1.fastq.gz	EBC_082.15.fa	0.2711	0.5582	98.69	0.975	98.60-98.80	0.975	0.93-1.01	1	1.794	8472/20483	97.19	452	EBC_082.15_EBC_082_scaffold_602
SRR9701327_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	0.2111	0.1715	98.95	0.759	98.76-99.14	0.759	0.69-0.83	1	1.429	3080/7955	96.99	37	SRS6115052_k141_129
SRR9701327_trimmed_1.fastq.gz	FontanaF_2023__SRR20746834__bin.2.fa	0.1483	0.1805	98.58	0.534	98.42-98.79	0.534	0.49-0.56	1	1.353	3204/11938	95.85	183	NODE_15_length_59385_cov_11.2996_ID_3067
SRR9701327_trimmed_1.fastq.gz	LandisEA_2021__SRS5653333__bin.1.fa	0.1458	0.1581	99.11	0.524	98.92-99.30	0.524	0.49-0.56	1	1.334	3299/10617	96.30	18	SRS5653333_k141_170
SRR9701327_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS12-29__bin.6.fa	0.1446	0.1520	99.17	0.520	99.01-99.34	0.520	0.48-0.56	1	1.308	3245/10372	96.32	94	TGS12-29_k141_701
SRR9701327_trimmed_1.fastq.gz	LeechJ_xxxx__AF76__bin.15.fa	0.1273	0.2343	98.97	0.458	98.82-99.21	0.458	0.42-0.48	1	1.309	4792/17945	95.83	178	AF76_k141_354
SRR9701327_trimmed_1.fastq.gz	FontanaF_2023__SRR20746839__bin.4.fa	0.1254	0.0928	98.59	0.451	98.29-98.89	0.451	0.40-0.50	1	1.255	1724/7322	95.44	16	NODE_2_length_148631_cov_25.9785_ID_15265
SRR9701327_trimmed_1.fastq.gz	FontanaF_2023__SRR20746869__bin.1.fa	0.1207	0.1600	95.42	0.434	94.98-95.91	0.434	0.36-0.50	1	1.522	1067/12958	92.26	1137	NODE_117_length_29172_cov_5.0000_ID_19762
SRR9701327_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_226__bin.6.fa	0.1119	0.1468	99.24	0.403	99.04-99.47	0.403	0.36-0.43	1	1.236	3372/12895	95.77	20	NODE_2_length_319059_cov_34.9987_ID_36074
SRR9701327_trimmed_1.fastq.gz	MAG_579.fa	0.0948	0.1839	98.82	0.341	98.59-99.02	0.341	0.32-0.36	1	1.369	3825/19121	94.94	286	MAG_579_0
SRR9701327_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	0.0943	0.1285	99.17	0.339	98.91-99.47	0.339	0.30-0.36	1	1.204	3069/13589	95.31	13	NODE_1_length_274429_cov_22.9992_ID_7781
SRR9701327_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	0.0903	0.1133	97.32	0.325	96.93-97.66	0.325	0.29-0.37	1	1.208	1505/12230	93.46	1556	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence
SRR9701327_trimmed_1.fastq.gz	MortensenS_xxxx__WK032-1-L-48h-03B6_S34__bin.2.fa	0.0896	0.1029	98.18	0.322	97.79-98.55	0.322	0.28-0.36	1	1.182	1767/11346	94.18	0	WK032-1-L-48h-03B6_S34_k141_400
SRR9701327_trimmed_1.fastq.gz	MAG_501.fa	0.0890	0.0892	96.12	0.320	95.67-96.59	0.320	0.27-0.38	1	1.264	780/9710	92.19	35	MAG_501_0
SRR9701327_trimmed_1.fastq.gz	LiZ_2019__SRS3379157__bin.3.fa	0.0714	0.1483	95.37	0.257	94.93-95.80	0.257	0.22-0.30	1	1.294	1076/20657	90.91	2073	SRS3379157_k141_320
SRR9701327_trimmed_1.fastq.gz	EBC_134.7.fa	0.0713	0.1810	96.94	0.257	96.63-97.21	0.257	0.23-0.28	1	1.245	2186/25164	92.42	5743	EBC_134.7_EBC_134_scaffold_2638
SRR9701327_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859377__bin.10.fa	0.0698	0.0825	98.56	0.251	98.17-98.98	0.251	0.22-0.28	1	1.170	1666/11722	93.90	108	NODE_8_length_174488_cov_60.9499_ID_127332
SRR9701327_trimmed_1.fastq.gz	YulandiA_2020__SRS6115053__bin.6.fa	0.0648	0.0871	99.30	0.233	98.92-99.68	0.233	0.20-0.26	1	1.348	2176/12995	94.40	176	SRS6115053_k141_296
SRR9701327_trimmed_1.fastq.gz	YulandiA_2020__SRS6115053__bin.10.fa	0.0605	0.0788	99.45	0.218	99.06-99.93	0.218	0.18-0.25	1	1.197	2093/12698	94.35	184	SRS6115053_k141_3360
SRR9701327_trimmed_1.fastq.gz	GCF_001885995.1_ASM188599v1_genomic.fa	0.0581	0.0590	96.89	0.209	96.28-97.45	0.209	0.17-0.25	1	1.136	735/10141	91.88	119	GCF_001885995.1_ASM188599v1_genomic_NZ_JXKT01000001.1 Enterococcus italicus DSM 15952 Scaffold1, whole genome shotgun sequence
SRR9701327_trimmed_1.fastq.gz	MAG_183.fa	0.0524	0.1034	98.11	0.188	97.75-98.53	0.188	0.16-0.21	1	1.186	1835/19273	92.69	775	MAG_183_0
SRR9701327_trimmed_1.fastq.gz	ShangpliangH_2023_b__SRR22851058__bin.16.fa	0.0512	0.0303	98.64	0.184	97.94-99.33	0.184	0.14-0.23	1	1.198	627/5665	93.15	5	NODE_278_length_22020_cov_1020.5090_ID_7225
SRR9701327_trimmed_1.fastq.gz	XieM_2019__SAMC044639__bin.32.fa	0.0501	0.1006	99.13	0.180	98.77-99.43	0.180	0.16-0.20	1	1.112	2499/19857	93.53	37	SAMC044639_k141_719
SRR9701327_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_425__bin.9.fa	0.0472	0.0384	97.67	0.170	96.95-98.43	0.170	0.13-0.21	1	1.528	640/8063	92.15	43	NODE_1_length_598382_cov_75.9985_ID_32759
SRR9701327_trimmed_1.fastq.gz	MAG_594.fa	0.0358	0.0405	98.56	0.129	97.71-99.13	0.129	0.11-0.16	1	1.060	844/10962	92.06	2	MAG_594_0
SRR9701327_trimmed_1.fastq.gz	P.1_bin.1.fa	0.0352	0.0695	97.01	0.127	96.27-97.68	0.127	0.10-0.16	1	1.106	908/19536	90.57	908	P.1_bin.1_k77_21174
SRR9701327_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811223__bin.4.fa	0.0328	0.0427	97.48	0.118	96.52-98.29	0.118	0.09-0.16	1	1.056	647/12850	90.81	1	NODE_3_length_103388_cov_45.8805_ID_15969
SRR9701327_trimmed_1.fastq.gz	LeechJ_2020__ERS3967701__bin.1.fa	0.0248	0.0522	96.59	0.089	95.59-97.73	0.089	0.06-0.12	1	1.132	604/20761	89.22	494	ERS3967701_k141_224
SRR9701327_trimmed_1.fastq.gz	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6.fa	0.0234	0.0181	98.94	0.084	97.58-100.27	0.084	0.05-0.13	1	1.043	460/7783	91.28	3	WK002-1-L-48h-01F6_S30_k141_2565
SRR9701327_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859377__bin.11.fa	0.0200	0.0278	95.95	0.072	94.16-98.01	0.072	0.03-0.13	1	1.034	262/13501	88.06	1	NODE_15_length_126923_cov_35.9983_ID_94269
SRR9701327_trimmed_1.fastq.gz	MAG_116.fa	0.0192	0.0095	97.22	0.069	94.64-98.61	0.069	0.05-0.14	1	1.415	130/4679	89.08	63	MAG_116_0
SRR9701327_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_418__bin.8.fa	0.0182	0.0155	97.29	0.065	95.50-99.65	0.065	0.03-0.12	1	1.106	226/8364	89.00	22	NODE_1_length_253996_cov_27.9987_ID_4007
SRR9701327_trimmed_1.fastq.gz	LopezSanchezR_2023__SRR13708567__bin.13.fa	0.0181	0.0181	99.16	0.065	97.63-100.42	0.065	0.04-0.10	1	1.032	475/9786	90.70	0	NODE_203_length_18705_cov_7.0000_ID_55160
